content_hash_id,avg_impressions,avg_clicks,avg_position,opportunity_score,rank,reason,recommended_action
content_3ef2069680c58e33,101.96774193548387,0.03225806451612903,2.2119701080448824,0.8459284315015523,1,high_search_visibility,Review click capture and content alignment
content_97bc236c5acb466d,236.83870967741936,0.03225806451612903,4.260928920644792,0.84588964520582,2,high_search_visibility,Review click capture and content alignment
content_995a4a7254c86f20,137.06451612903226,0.03225806451612903,3.7899805722916846,0.8443619245211234,3,high_search_visibility,Review click capture and content alignment
content_a6bd8fd783853351,168.03225806451613,0.03225806451612903,2.1527870662245085,0.8441895746181167,4,high_search_visibility,Review click capture and content alignment
content_f9107e9eb6148ee7,168.2258064516129,0.03225806451612903,2.4256595950392494,0.8441191269444853,5,high_search_visibility,Review click capture and content alignment
content_507542b17cf4edb8,203.74193548387098,0.03225806451612903,4.0414946976312285,0.8435536172301643,6,high_search_visibility,Review click capture and content alignment
content_0cb3aa0636f8af47,55.32258064516129,0.03225806451612903,5.124028847634856,0.8434703418676024,7,high_search_visibility,Review click capture and content alignment
content_26904dabf7b44a77,246.93548387096774,0.03225806451612903,2.309462110280481,0.8432614649846418,8,high_search_visibility,Review click capture and content alignment
content_e9c7ede6a7c38d2d,160.90322580645162,0.03225806451612903,4.088989723714672,0.8430995285117722,9,high_search_visibility,Review click capture and content alignment
content_85174c59769b20a9,69.54838709677419,0.03225806451612903,5.198673872072291,0.8430598881529698,10,high_search_visibility,Review click capture and content alignment
content_6fcfa598f0227121,133.83870967741936,0.03225806451612903,4.643574417252383,0.8429956813827276,11,high_search_visibility,Review click capture and content alignment
content_76e6b6793cb347b0,137.2258064516129,0.03225806451612903,4.461980321949631,0.8427580889712725,12,high_search_visibility,Review click capture and content alignment
content_ef743bae7e4f97c3,145.67741935483872,0.03225806451612903,3.5613375234339566,0.84238777122228,13,high_search_visibility,Review click capture and content alignment
content_6048ce89caa21075,58.96774193548387,0.03225806451612903,5.087632082477611,0.8419684447775492,14,high_search_visibility,Review click capture and content alignment
content_e741d65c977ab594,133.29032258064515,0.03225806451612903,5.134086937410197,0.8415301770985134,15,high_search_visibility,Review click capture and content alignment
content_5fdb9cb7530bd89b,109.03225806451613,0.03225806451612903,3.2083177137909376,0.8406112993950391,16,high_search_visibility,Review click capture and content alignment
content_ca4ad0cec9ce00b5,118.25806451612904,0.03225806451612903,5.081323786310535,0.8395790512755148,17,high_search_visibility,Review click capture and content alignment
content_e204ec2702e0721e,101.3225806451613,0.03225806451612903,4.755084700421295,0.8393722559726033,18,high_search_visibility,Review click capture and content alignment
content_f0f1ead69f641b49,373.258064516129,0.03225806451612903,6.726564406609395,0.8393529910279723,19,high_search_visibility,Review click capture and content alignment
content_8722b24ff68f5a7e,81.6774193548387,0.03225806451612903,3.1638416012039157,0.8391503688908667,20,high_search_visibility,Review click capture and content alignment
